Id,Label,nodetype,latitude,longitude,x,y,Degree
Doei,Doei,Toimaru,,,607.573792,235.948608,2
Dokan,Dokan,Toimaru,,,-41.778187,33.615593,6
Donen,Donen,Toimaru,,,131.115311,119.082962,4
Emon,Emon,Toimaru,,,827.146667,271.629547,1
Emongoro,Emongoro,Toimaru,,,185.764191,-147.062943,1
Emonjiro,Emonjiro,Toimaru,,,444.579163,311.061096,1
Emonkuro,Emonkuro,Toimaru,,,-4.253588,174.649261,13
Emonshiro,Emonshiro,Toimaru,,,-529.437622,-22.404686,10
Emontaro,Emontaro,Toimaru,,,258.819275,-113.089516,7
Emonzaburo,Emonzaburo,Toimaru,,,462.820953,340.183502,1
Gorotaro,Gorotaro,Toimaru,,,-228.934235,-34.152077,3
Hyoetaro,Hyoetaro,Toimaru,,,-1240.618164,-407.591156,1
Jiro1,Jiro1,Toimaru,,,-1.768822,248.733917,1
Jiro2,Jiro2,Toimaru,,,214.744232,-551.549011,1
Jirozaburo1,Jirozaburo1,Toimaru,,,-37.14711,-187.316788,19
Kiya,Kiya,Toimaru,,,378.286407,-23.165974,17
Magogoro,Magogoro,Toimaru,,,-468.021851,13.27538,2
Magojiro,Magojiro,Toimaru,,,-689.752991,-57.793915,1
Magokuro,Magokuro,Toimaru,,,-493.518036,-43.031662,1
Magoshiro,Magoshiro,Toimaru,,,298.622528,243.830872,1
Magotaro,Magotaro,Toimaru,,,-130.08905,153.358841,14
Saburo,Saburo,Toimaru,,,172.988647,150.219315,2
Saburodayu,Saburodayu,Toimaru,,,-1984.279053,-319.1521,1
Saburotaro,Saburotaro,Toimaru,,,297.336304,291.311493,7
Saemonkuro,Saemonkuro,Toimaru,,,23.352036,217.422379,1
Saemonshiro,Saemonshiro,Toimaru,,,97.926918,-100.084084,1
Sezen,Sezen,Toimaru,,,-1171.164917,-215.633896,3
Shirozaburo,Shirozaburo,Toimaru,,,-1465.77771,-241.911682,2
Taro,Taro,Toimaru,,,211.2854,351.758728,1
Tayushiro,Tayushiro,Toimaru,,,227.327316,284.828003,2
Tayuzaburo,Tayuzaburo,Toimaru,,,-473.013855,30.202513,3
Tojiro,Tojiro,Toimaru,,,88.532219,-576.156677,8
Ejima,Ejima,Port,34.676778,134.534083,254.120773,229.900391,1
Hirashima,Hirashima,Port,33.94325,134.662806,332.753174,-312.585938,2
Shima,Shima,Port,34.482111,134.312722,118.899033,85.46875,1
Nakashō,Nakashō,Port,34.742861,134.389972,166.088379,279.005859,1
Mugi,Mugi,Port,33.669444,134.418361,183.430222,-513.878906,3
Yura,Yura,Port,34.29225,134.944639,504.915161,-55.072266,1
Hayashi,Hayashi,Port,34.6465,134.972111,521.696838,207.412109,1
Kanno.ura,Kanno.ura,Port,33.548389,134.300472,111.415932,-602.669922,3
Kaifu,Kaifu,Port,33.59425,134.355417,144.979919,-569.046875,2
Matsue,Matsue,Port,34.653583,134.959111,513.755615,212.671875,4
Anaka,Anaka,Port,34.271056,134.670389,337.385376,-70.740234,2
Amagasaki,Amagasaki,Port,34.713861,135.418167,794.176941,257.451172,2
Hiketa,Hiketa,Port,34.226861,134.403528,174.369263,-103.400391,3
Aji,Aji,Port,34.388222,134.130333,7.483937,15.929688,2
Shishikui,Shishikui,Port,33.567444,134.304861,114.097023,-588.701172,3
Setoda,Setoda,Port,34.305,133.088806,-628.748718,-45.642578,6
Tonda,Tonda,Port,34.074083,131.755611,-1443.151245,-216.173828,2
Sumoto,Sumoto,Port,34.343889,134.89725,475.966858,-16.878906,1
Nohara,Nohara,Port,34.342806,134.035056,-50.717472,-17.679688,2
Katamoto,Katamoto,Port,34.341389,134.097861,-12.352079,-18.728516,2
Hirayama,Hirayama,Port,34.354611,133.577972,-329.934204,-8.945312,1
Hachihama,Hachihama,Port,34.552389,133.943722,-106.510239,137.572266,1
Sōji.in,Sōji.in,Port,34.060861,134.208694,55.351948,-225.923828,2
Hyōgo,Hyōgo,Port,34.669639,135.174528,645.346375,224.597656,6
Ushimado,Ushimado,Port,34.61775,134.15775,24.232029,186.068359,4
Tomo,Tomo,Port,34.385444,133.379861,-450.953339,13.873047,2
Onomichi,Onomichi,Port,34.4105,133.20275,-559.144287,32.423828,4
Kaminoseki,Kaminoseki,Port,33.831028,132.110833,-1226.158447,-395.166016,1
Nawari,Nawari,Port,33.426222,134.019611,-60.152283,-692.150391,2
Maenohama,Maenohama,Port,33.543194,133.664056,-277.34848,-606.476562,1
Warae,Warae,Port,34.434111,133.282333,-510.529785,49.908203,2
Iwaya,Iwaya,Port,34.589194,135.017139,549.202881,164.875,1
Shiwaku,Shiwaku,Port,34.38775,133.783972,-204.095963,15.580078,1
Inunoshima,Inunoshima,Port,34.564583,134.103861,-8.686888,146.617188,2
Tajima,Tajima,Port,34.366167,133.303528,-497.582489,-0.394531,4
Mihara,Mihara,Port,34.397739,133.078049,-635.319763,22.974609,1
Shimonoseki,Shimonoseki,Port,33.951583,130.9255,-1950.237183,-306.449219,1
Sanbonmatsu,Sanbonmatsu,Port,34.253222,134.338778,134.815735,-83.921875,1
Mitsunoshō,Mitsunoshō,Port,34.296306,133.194,-564.489319,-52.072266,3
Murotsu,Murotsu,Port,34.520694,134.87875,464.665863,114.068359,2
Aboshi,Aboshi,Port,34.786222,134.587361,286.666443,311.25,3
Yo.i,Yo.i,Port,34.375028,134.757639,390.68335,6.164062,1
Atsu,Atsu,Port,34.59725,134.016389,-62.120491,170.853516,1
Kōsai,Kōsai,Port,34.346528,133.998833,-72.844849,-14.925781,1
Inbe,Inbe,Port,34.738278,134.161194,26.335848,275.599609,1
Minamiura,Minamiura,Port,34.498056,133.612806,-308.655334,97.287109,2
Katagami,Katagami,Port,34.745139,134.1855,41.18354,280.699219,1
Takehara,Takehara,Port,34.341361,132.910167,-737.873047,-18.748047,1
Yanai,Yanai,Port,33.964917,132.107528,-1228.177368,-296.628906,1
Banda,Banda,Port,34.564611,134.025639,-56.46999,146.636719,1
Hibi,Hibi,Port,34.459278,133.925417,-117.692131,68.550781,2
Nogami,Nogami,Port,34.056139,131.801139,-1415.339722,-229.404297,1
Muya,Muya,Port,34.178917,134.60425,296.983368,-138.8125,1
Tsuruhashi,Tsuruhashi,Port,34.281806,134.2735,94.939674,-62.792969,3
Itsu,Itsu,Port,34.78225,134.53475,254.528214,308.294922,2
Tosadomari,Tosadomari,Port,34.190806,134.620861,307.130432,-130.033203,1
Shido,Shido,Port,34.322972,134.172361,33.157379,-32.351562,1
Sakihama,Sakihama,Port,33.39575,134.206917,54.266441,-714.449219,2
Fukudomari,Fukudomari,Port,34.77275,134.733889,376.175323,301.230469,1
Imazaike,Imazaike,Port,34.804361,134.652083,326.202881,324.742188,1
Tachibana,Tachibana,Port,33.876056,134.645361,322.096649,-362.044922,1
Uno,Uno,Port,34.490806,133.945889,-105.186493,91.912109,1
Uozaki,Uozaki,Port,34.712361,135.270417,703.921631,256.335938,1
Sakai,Sakai,Port,34.581917,135.46875,825.076355,159.476562,2
Matsubara,Matsubara,Port,34.76125,134.802306,417.968872,292.677734,2
Eigashima,Eigashima,Port,34.680389,134.9135,485.893433,232.582031,1
Muro,Muro,Port,34.767611,134.505944,236.931641,297.408203,2
Sakoshi,Sakoshi,Port,34.768278,134.417806,183.091202,297.904297,1
Iwaki,Iwaki,Port,34.248417,133.145806,-593.929382,-87.472656,2
Tsushi,Tsushi,Port,34.412639,134.781806,405.446136,34.007812,1
Naba,Naba,Port,34.809556,134.465444,212.191589,328.607422,4
Takenokuchi,Takenokuchi,Port,34.351306,134.892694,473.183777,-11.390625,1
Aga,Aga,Port,34.80925,134.643361,320.874908,328.378906,1
Mushiake,Mushiake,Port,34.684528,134.209056,55.573082,235.65625,1
Bekku,Bekku,Port,34.095028,134.577194,280.45578,-200.724609,1
Yasuda,Yasuda,Port,33.438861,133.981528,-83.415871,-682.898438,1
Hinase,Hinase,Port,34.735667,134.275222,95.991585,273.658203,1
Yuge,Yuge,Port,34.258083,133.205389,-557.532227,-80.328125,0
Tsurajima,Tsurajima,Port,34.547,133.732694,-235.419907,133.574219,0
Utatsu,Utatsu,Port,34.308389,133.825722,-178.592331,-43.136719,0
Shimotsui,Shimotsui,Port,34.438083,133.797389,-195.899979,52.849609,0
Teshima,Teshima,Port,34.398444,133.668806,-274.446869,23.496094,0
Ihozumi,Ihozumi,Port,34.767833,134.787889,409.162048,297.572266,0
Kuise,Kuise,Port,34.717917,135.438028,806.309326,260.464844,0
Bessho,Bessho,Port,34.804306,134.753472,388.137878,324.701172,0
